sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct,leg,entry_ts,exit_ts
162685,243,245,-1,1.95722775147851,1.0,target,0.0018703716256536,0.0025,RULE:smc_B,2016-07-18 17:45:00+00:00,2016-07-19 12:45:00+00:00
134834,244,246,1,-1.1746308876386962,1.0,stop,7.845118458279103,0.004,RULE:ta_C,2016-07-19 09:15:00+00:00,2016-07-19 18:45:00+00:00
162960,247,250,-1,0.7558999626638001,1.0,time,0.004418574103681,0.0025,RULE:smc_B,2016-07-21 14:30:00+00:00,2016-07-25 14:30:00+00:00
135059,248,249,1,-1.1436244671866795,1.0,stop,9.53876471631611,0.004,RULE:ta_C,2016-07-21 19:00:00+00:00,2016-07-21 20:00:00+00:00
135398,251,252,1,-1.5002625606264444,1.0,stop,1.2693334460304868,0.002,RULE:ta_C,2016-08-16 03:15:00+00:00,2016-08-16 08:00:00+00:00
135398,251,252,1,-1.3899684527717953,1.0,stop,1.2693334460304868,0.002,RULE:ta_C,2016-08-16 03:15:00+00:00,2016-08-16 08:00:00+00:00
135942,253,254,1,-1.38577689818128,1.0,stop,1.283125045417819,0.002,RULE:ta_C,2016-08-24 03:15:00+00:00,2016-08-24 03:30:00+00:00
135942,253,254,1,-1.4948855158487124,1.0,stop,1.283125045417819,0.002,RULE:ta_C,2016-08-24 03:15:00+00:00,2016-08-24 03:30:00+00:00
135943,254,254,1,-1.5098865642313513,1.0,stop,1.2453750393624432,0.002,RULE:ta_C,2016-08-24 03:30:00+00:00,2016-08-24 03:30:00+00:00
135943,254,254,1,-1.397470628810266,1.0,stop,1.2453750393624432,0.002,RULE:ta_C,2016-08-24 03:30:00+00:00,2016-08-24 03:30:00+00:00
137352,255,257,-1,-1.1058190916817905,1.0,stop,12.94662407535816,0.004,RULE:ta_C,2016-08-25 16:30:00+00:00,2016-08-26 14:30:00+00:00
